Network,Station,Latitude,Longitude,TaxCode,Lambda,N_Cluster,P_Cluster
TA,D14A,47.1,-113.5,Intra_no_base,1.2,1,3.0
UW,CCRK,46.6,-119.9,Intra_no_base,0.8,1,N/A
TA,J08A,43.4,-118.5,P_type_Layer,1.4,1,1.0
CI,MUR,33.6,-117.2,P_type_Layer,1.4,1,2.0
UW,IRON,43.4,-118.5,P_type_Layer,0.8,1,1.0
TA,H20A,44.5,-108.0,Intra_no_base,1.2,3,3.0
TA,K36A,42.6,-94.5,P_type_Layer,2.3,1,2.0
Z9,D17,34.6,-83.5,Intra_no_base,0.8,2,N/A
XO,KJ40,37.1,-86.0,Intra_no_base,0.8,2,3.0
N4,F64A,45.9,-68.3,P_type_Layer,0.8,1,1.0
TA,S23A,37.7,-106.0,Intra_no_base,1.0,1,3.0
TA,R25A,38.1,-104.3,Intra_no_base,1.2,1,3.0
Z9,W08,31.7,-83.9,P_type_Layer,0.8,1,1.0
CI,CWC,36.4,-118.1,P_type_Layer,0.8,1,1.0
TA,X20A,34.5,-108.5,P_type_Layer,1.1,1,1.0
TA,V18A,35.7,-109.9,P_type_Layer,1.2,1,2.0
TA,434A,30.8,-98.3,Intra_no_base,1.0,1,3.0
TA,I64A,43.9,-69.6,Intra_no_base,0.8,1,4.0
N4,L42A,42.0,-89.7,Intra_no_base,1.0,3,3.0
TA,244A,32.0,-90.7,Intra_no_base,0.8,1,3.0
TA,X26A,34.6,-103.8,Intra_no_base,0.8,1,3.0
TA,K63A,42.7,-71.5,Intra_no_base,0.8,1,3.0
LD,BRNY,41.4,-74.0,Intra_no_base,0.8,1,N/A
TA,H53A,44.6,-78.6,P_type_Layer,0.8,1,1.0
CI,VTV,34.6,-117.3,P_type_Layer,1.2,1,2.0
TA,F42A,45.8,-88.1,N_type_Layer,1.3,2,2.0
CI,LKL,34.6,-117.8,P_type_Layer,0.8,2,1.0
TA,P25A,39.5,-104.2,Intra_no_base,1.7,1,3.0
TA,Z35A,33.3,-97.3,Intra_no_base,1.5,3,3.0
TA,Y19A,34.0,-109.3,Intra_no_base,1.7,2,4.0
TA,U14A,36.4,-113.2,P_type_Layer,1.7,1,1.0
N4,P38B,39.6,-93.5,Intra_no_base,1.7,1,N/A
TA,E63A,46.4,-68.5,Intra_no_base,1.2,1,3.0
TA,D54A,47.2,-76.7,P_type_Layer,1.0,1,2.0
TA,M33A,41.6,-97.2,P_type_Layer,1.8,1,2.0
CI,GSC,35.3,-116.8,P_type_Layer,1.2,1,2.0
CI,GLA,33.1,-114.8,Intra_no_base,0.8,1,3.0
TA,Z37A,33.2,-95.6,P_type_Layer,1.4,1,1.0
TA,W32A,35.1,-99.2,Intra_no_base,1.2,2,3.0
TA,H22A,44.6,-106.4,P_type_Layer,1.7,3,1.0
TA,109C,32.9,-117.1,Intra_no_base,1.0,1,3.0
TA,X15A,34.5,-112.2,P_type_Layer,1.2,1,1.0
N4,I42A,43.9,-88.9,P_type_Layer,1.4,1,1.0
TA,P60A,39.8,-75.6,N_type_Layer,1.4,3,2.0
TA,F40A,45.9,-90.1,P_type_Layer,1.2,1,1.0
TA,O18A,40.3,-110.0,Intra_no_base,1.2,3,3.0
XO,KI41,37.3,-85.8,Intra_no_base,0.8,3,3.0
TA,C09A,47.8,-118.3,P_type_Layer,1.0,1,1.0
TA,320A,31.3,-108.5,P_type_Layer,1.0,1,1.0
,WIZ,42.9,-122.1,P_type_Layer,1.2,1,N/A
TA,A11A,49.0,-116.4,P_type_Layer,1.3,1,1.0
TA,D63A,47.0,-68.1,P_type_Layer,1.2,1,1.0
TA,B09A,48.4,-118.1,P_type_Layer,1.7,1,1.0
TA,H63A,44.7,-70.0,Intra_no_base,0.8,1,3.0
TA,S49A,37.8,-85.3,P_type_Layer,1.2,1,1.0
LD,PRNY,42.5,-76.5,Intra_no_base,0.8,2,N/A
N4,L48A,41.9,-84.4,P_type_Layer,0.9,1,2.0
TA,V15A,35.8,-112.2,P_type_Layer,1.2,1,2.0
CI,MPP,34.9,-119.8,Intra_no_base,0.8,1,3.0
TA,214A,32.0,-112.8,P_type_Layer,1.2,1,2.0
TA,A28A,48.9,-100.3,Intra_no_base,1.2,1,3.0
TA,O48A,40.3,-85.2,P_type_Layer,1.3,1,2.0
US,LRAL,33.0,-87.0,Intra_no_base,0.8,1,3.0
TA,I63A,44.1,-70.6,P_type_Layer,1.0,1,2.0
TA,D08A,47.1,-118.9,P_type_Layer,0.9,1,2.0
BK,MCCM,38.1,-122.9,Intra_no_base,1.5,2,3.0
TA,J52A,43.2,-80.5,Intra_no_base,1.5,1,N/A
IW,LOHW,43.6,-110.6,Intra_no_base,1.2,3,3.0
TA,K18A,42.6,-110.0,Intra_no_base,1.2,1,4.0
CI,NEE2,34.8,-114.6,P_type_Layer,1.7,1,1.0
TA,034A,27.1,-98.7,Intra_no_base,1.2,1,3.0
TA,R46A,38.2,-87.5,Intra_no_base,2.2,1,3.0
TA,449A,30.8,-87.2,P_type_Layer,0.8,1,1.0
TA,Q18A,39.1,-110.1,P_type_Layer,1.0,1,1.0
TA,C36A,47.8,-92.8,P_type_Layer,1.0,1,1.0
TA,Z22A,33.3,-107.0,P_type_Layer,1.2,1,1.0
TA,H55A,44.6,-77.2,Intra_no_base,1.2,3,3.0
,TTW,47.7,-121.7,Intra_no_base,1.2,1,N/A
TA,Z21A,33.3,-107.7,Intra_no_base,2.0,2,N/A
LD,PANJ,40.4,-74.7,Intra_no_base,0.8,1,3.0
TA,N45A,40.8,-87.5,Intra_no_base,0.8,1,3.0
TA,M48A,41.5,-84.7,Intra_no_base,1.9,2,N/A
TA,A16A,48.9,-111.6,Transitional,1.7,4,N/A
US,HLID,43.6,-114.4,P_type_Layer,1.4,1,2.0
CI,BAR,32.7,-116.7,P_type_Layer,0.9,1,1.0
LD,HCNY,42.7,-74.4,Intra_no_base,0.8,1,3.0
US,VBMS,32.2,-90.5,P_type_Layer,1.6,1,2.0
US,EYMN,47.9,-91.5,P_type_Layer,0.9,1,1.0
TA,N18A,41.0,-109.7,Transitional,2.2,4,1.0
TA,H04A,44.7,-122.2,P_type_Layer,1.2,2,2.0
US,LTX,29.3,-103.7,Transitional,0.8,4,2.0
TA,L47A,42.0,-85.2,P_type_Layer,1.5,1,2.0
TA,552A,30.1,-85.3,N_type_Layer,0.8,3,1.0
CI,IRM,34.2,-115.1,N_type_Layer,0.8,3,2.0
TA,O16A,40.2,-111.5,P_type_Layer,1.2,1,1.0
TA,Y53A,33.9,-83.6,Transitional,1.1,4,1.0
TA,D25A,47.2,-103.3,Intra_no_base,1.2,2,3.0
N4,I37B,44.0,-93.4,Intra_no_base,1.6,3,3.0
TA,I09A,44.0,-117.7,Intra_no_base,1.4,3,3.0
TA,D52A,47.0,-78.4,Transitional,0.9,4,1.0
TA,E47A,46.5,-83.3,Transitional,1.0,4,2.0
TA,TASO,34.9,-106.5,Transitional,1.1,4,2.0
LD,UCCT,41.8,-72.2,Transitional,0.8,4,1.0
TA,F05A,45.9,-121.5,Transitional,1.0,1,4.0
N4,237B,32.0,-95.8,P_type_Layer,1.5,1,1.0
IW,DLMT,45.4,-112.6,Intra_no_base,2.0,1,N/A
TA,E15A,46.4,-112.6,P_type_Layer,1.7,1,2.0
7A,WLFT,38.2,-78.1,Intra_no_base,1.4,1,N/A
TA,Y29A,33.9,-101.7,N_type_Layer,1.5,2,2.0
N4,V53A,35.7,-82.8,Intra_no_base,0.8,3,3.0
TA,L61B,42.4,-72.7,P_type_Layer,0.9,2,1.0
XO,KI45,37.3,-85.2,Unknown,0.9,3,N/A
TA,S09A,37.7,-117.2,Unknown,1.3,2,4.0
TA,K50A,42.8,-82.6,Transitional,1.7,4,3.0
NE,WVL,44.6,-69.7,Transitional,0.8,4,4.0
LD,FRNY,44.8,-73.6,Transitional,0.8,4,2.0
LD,WCNY,44.0,-75.7,Intra_no_base,0.8,2,N/A
TA,S04C,37.5,-121.3,Intra_no_base,1.2,1,3.0
TA,M18A,41.4,-110.1,P_type_Layer,0.8,1,1.0
UW,JEDS,43.8,-124.0,Transitional,1.0,4,1.0
TA,T59A,37.0,-77.6,N_type_Layer,0.8,3,1.0
N4,342B,31.4,-92.3,Transitional,1.2,4,3.0
TA,U33A,36.4,-98.1,N_type_Layer,0.8,3,2.0
TA,F22A,45.8,-106.3,Intra_no_base,1.2,1,3.0
N4,V48A,35.7,-86.8,Intra_no_base,0.8,3,3.0
TA,P23A,39.4,-105.8,Intra_no_base,0.9,1,3.0
TA,U32A,36.4,-99.0,Intra_no_base,0.8,1,3.0
UW,BABR,44.6,-123.8,P_type_Layer,0.8,1,1.0
TA,D37A,47.2,-92.4,N_type_Layer,1.2,2,2.0
TA,F48A,45.8,-82.6,P_type_Layer,0.9,1,2.0
TA,O48B,40.3,-85.2,N_type_Layer,0.8,2,2.0
CC,LSON,45.4,-121.6,P_type_Layer,2.2,1,1.0
UW,LRIV,48.1,-123.5,P_type_Layer,0.8,2,1.0
TA,N58A,40.8,-76.7,P_type_Layer,0.8,1,1.0
TA,TASN,34.9,-106.5,P_type_Layer,0.9,2,2.0
TA,J10A,43.4,-116.8,N_type_Layer,1.9,1,2.0
TA,131A,32.7,-100.4,Intra_no_base,2.0,1,N/A
TA,E16A,46.5,-111.7,P_type_Layer,2.2,1,1.0
TA,N39A,40.9,-92.5,N_type_Layer,1.0,1,2.0
NE,BRYW,41.9,-71.5,Unknown,0.8,3,N/A
TA,J40A,43.4,-90.7,Intra_no_base,1.6,1,N/A
US,PKME,45.3,-69.3,P_type_Layer,0.8,1,2.0
7A,LADY,38.5,-78.8,Intra_no_base,0.8,1,3.0
TA,U17A,36.6,-110.7,N_type_Layer,1.2,2,2.0
TA,Q58A,38.9,-77.7,P_type_Layer,1.2,1,1.0
TA,TFRD,33.5,-116.6,P_type_Layer,1.2,3,4.0
TA,Q39A,39.0,-93.0,Intra_no_base,0.8,2,N/A
TA,217A,31.8,-110.8,Unknown,1.7,3,N/A
TA,K49A,42.8,-83.5,Intra_no_base,1.7,2,N/A
LD,MCVT,44.0,-73.0,Transitional,0.8,4,1.0
TA,P32A,39.6,-98.6,P_type_Layer,1.2,1,1.0
N4,F63A,45.7,-69.1,P_type_Layer,1.2,1,2.0
CN,GGN,45.1,-66.8,Intra_no_base,0.8,3,3.0
TA,C14A,47.8,-113.7,P_type_Layer,1.2,1,1.0
TA,N59A,40.9,-75.8,P_type_Layer,0.8,1,2.0
TA,V57A,35.9,-79.8,N_type_Layer,0.8,3,1.0
TA,C24A,47.5,-104.4,Intra_no_base,1.7,2,3.0
TA,529A,30.1,-102.2,Transitional,1.1,4,2.0
BK,JCC,40.8,-124.0,P_type_Layer,1.6,1,2.0
TA,C26A,47.8,-102.1,Transitional,0.8,4,3.0
TA,M35A,41.5,-95.7,Transitional,1.9,4,1.0
N4,456A,30.7,-82.0,Intra_no_base,0.8,1,3.0
TA,L64A,41.9,-70.8,P_type_Layer,0.9,1,1.0
TA,Q49A,39.0,-84.9,Intra_no_base,0.8,1,3.0
TA,C13A,47.7,-114.6,P_type_Layer,0.9,1,1.0
TA,W25A,35.2,-104.5,P_type_Layer,0.8,1,1.0
TA,D05A,47.2,-122.0,Intra_no_base,1.2,1,3.0
LD,BMNY,44.8,-74.5,Intra_no_base,0.8,1,3.0
TA,F19A,45.9,-108.9,Intra_no_base,1.2,1,3.0
Z9,D05,33.8,-82.5,Intra_no_base,0.8,3,4.0
TA,O17A,40.2,-110.7,Intra_no_base,1.2,1,3.0
TA,219A,32.0,-109.3,P_type_Layer,1.2,1,2.0
N4,E43A,46.4,-87.0,Intra_no_base,1.7,1,N/A
TA,H15A,44.6,-112.6,P_type_Layer,1.2,1,1.0
TA,H65A,44.7,-68.2,P_type_Layer,0.8,1,1.0
US,JFWS,42.9,-90.2,Intra_no_base,0.8,1,3.0
Z9,D09,34.0,-82.8,Transitional,0.9,4,N/A
TA,Q44A,38.9,-89.0,P_type_Layer,1.4,1,1.0
TA,X50B,34.5,-85.6,Transitional,1.2,4,3.0
TA,V37A,35.9,-95.1,Intra_no_base,0.8,1,3.0
TA,H41A,44.6,-89.7,P_type_Layer,0.8,1,2.0
Z9,W22,32.4,-83.9,Transitional,0.8,4,2.0
TA,P15A,39.6,-112.3,Intra_no_base,1.0,1,3.0
N4,G62A,45.2,-70.5,Transitional,1.2,4,2.0
TA,T41A,37.0,-91.8,Transitional,0.8,4,1.0
TA,X38A,34.7,-94.8,Transitional,1.2,4,1.0
TA,Q54A,39.0,-80.8,Transitional,1.2,1,4.0
TA,H24A,44.7,-104.6,P_type_Layer,1.2,1,1.0
TA,E13A,46.4,-114.2,P_type_Layer,1.7,1,1.0
TA,G61A,45.3,-71.5,P_type_Layer,1.2,1,1.0
TA,G15A,45.2,-112.5,P_type_Layer,0.8,1,2.0
TA,V14A,35.6,-113.1,P_type_Layer,0.8,1,1.0
LD,NPNY,41.8,-74.1,P_type_Layer,0.8,1,2.0
IW,RRI2,43.3,-111.3,P_type_Layer,0.9,3,4.0
N4,735B,28.9,-97.8,Intra_no_base,1.7,1,3.0
TA,K11A,42.8,-116.0,Intra_no_base,1.2,1,4.0
TA,D17A,47.2,-110.7,Intra_no_base,0.8,1,3.0
CI,OSI,34.6,-118.7,Intra_no_base,1.2,1,N/A
Z9,W11,32.0,-83.9,Intra_no_base,0.8,1,3.0
TA,Y13A,33.8,-113.8,N_type_Layer,1.2,3,1.0
TA,X21A,34.4,-107.8,P_type_Layer,1.2,1,1.0
TA,M44A,41.4,-88.0,P_type_Layer,1.0,2,1.0
XQ,NC03,35.5,-79.3,N_type_Layer,0.8,3,2.0
N4,G65A,45.2,-67.6,Transitional,1.2,4,1.0
7A,PETO,39.2,-80.3,Transitional,1.1,4,1.0
US,MSO,46.8,-113.9,P_type_Layer,1.4,1,2.0
TA,M60A,41.3,-74.6,P_type_Layer,0.8,3,1.0
TA,G09A,45.3,-117.8,Transitional,1.3,4,1.0
TA,U12A,36.4,-114.5,P_type_Layer,2.7,1,1.0
TA,Y55A,33.9,-81.9,Transitional,1.5,4,N/A
CI,SDR,32.7,-116.9,P_type_Layer,1.2,3,1.0
TA,534A,30.0,-98.5,N_type_Layer,1.1,2,2.0
TA,E03A,46.5,-123.6,P_type_Layer,2.2,1,1.0
TA,O01C,40.1,-123.8,P_type_Layer,1.5,1,2.0
Z9,D12,34.2,-83.0,Intra_no_base,0.8,2,N/A
TA,O06A,40.2,-119.8,Intra_no_base,1.2,3,3.0
TA,S06C,37.9,-119.8,Intra_no_base,1.1,2,3.0
TA,U34A,36.4,-97.5,P_type_Layer,0.8,1,2.0
Z9,W23,32.5,-83.9,N_type_Layer,1.2,2,2.0
TA,216A,32.0,-111.5,N_type_Layer,1.3,2,2.0
TA,J60A,43.2,-73.4,P_type_Layer,1.0,2,1.0
TA,G54A,45.4,-78.1,N_type_Layer,1.1,1,2.0
TA,TASL,34.9,-106.5,N_type_Layer,1.0,1,4.0
TA,F13A,45.8,-114.3,N_type_Layer,1.7,1,4.0
LD,ALLY,41.6,-80.1,P_type_Layer,0.8,2,1.0
TA,P24A,39.5,-104.9,N_type_Layer,1.2,2,2.0
TA,R35A,38.3,-96.2,P_type_Layer,1.1,1,1.0
TA,C37A,47.7,-92.2,P_type_Layer,1.0,2,1.0
TA,R18A,38.4,-109.9,P_type_Layer,1.6,1,1.0
XQ,NC01,35.6,-79.2,Transitional,0.8,4,N/A
TA,Z14A,33.4,-112.9,Intra_no_base,0.8,3,3.0
N4,Q44B,38.9,-89.0,Intra_no_base,1.0,2,3.0
TA,S18A,37.7,-110.0,N_type_Layer,1.0,3,2.0
TA,E64A,46.4,-67.8,N_type_Layer,1.3,3,2.0
BK,BDM,38.0,-121.9,Intra_no_base,1.7,3,3.0
AZ,MONP,32.9,-116.4,P_type_Layer,1.2,1,1.0
TA,444A,30.7,-90.7,P_type_Layer,1.2,1,1.0
TA,O36A,40.1,-95.0,Intra_no_base,1.7,1,3.0
TA,L41A,42.1,-90.5,Intra_no_base,1.2,3,3.0
TA,I53A,43.8,-79.6,P_type_Layer,1.2,2,1.0
CI,EDW,34.9,-118.0,N_type_Layer,0.8,3,1.0
LD,WUPA,39.9,-75.6,N_type_Layer,0.8,3,2.0
TA,X37A,34.6,-95.4,Transitional,0.8,4,1.0
TA,N08A,40.8,-118.1,Intra_no_base,1.4,2,3.0
Z9,W07,31.6,-83.9,Intra_no_base,0.8,1,3.0
TA,Y15A,34.0,-112.3,N_type_Layer,1.2,3,2.0
US,MNV,38.4,-118.2,Transitional,1.1,4,1.0
TA,D06A,47.2,-120.8,Transitional,1.5,4,1.0
N4,J55A,43.3,-77.8,N_type_Layer,0.8,2,2.0
TA,J41A,43.4,-90.0,P_type_Layer,1.2,1,2.0
,X16A,34.4,-111.4,N_type_Layer,1.2,3,N/A
TA,M14A,41.5,-113.3,P_type_Layer,1.3,3,1.0
TA,N56A,40.9,-78.3,P_type_Layer,0.8,3,1.0
NM,SIUC,37.7,-89.2,Intra_no_base,0.8,2,3.0
Z9,D14,34.4,-83.2,Intra_no_base,0.8,2,N/A
TA,Y18A,33.8,-110.0,N_type_Layer,0.8,2,2.0
TA,F33A,45.8,-96.3,N_type_Layer,1.2,2,4.0
TA,H66A,44.8,-67.3,Intra_no_base,0.9,2,3.0
N4,E62A,46.6,-69.5,P_type_Layer,1.2,1,1.0
US,ELK,40.7,-115.2,N_type_Layer,0.8,3,1.0
TA,D26A,47.0,-102.4,Intra_no_base,2.2,2,3.0
TA,117A,32.6,-110.7,N_type_Layer,0.8,3,1.0
TA,Y12C,33.8,-114.5,N_type_Layer,0.8,3,2.0
TA,E53A,46.4,-77.7,N_type_Layer,1.2,2,4.0
TA,N25A,40.8,-104.1,Intra_no_base,0.8,2,3.0
TA,D47A,47.1,-83.1,P_type_Layer,0.9,2,1.0
TA,X55A,34.5,-81.6,P_type_Layer,0.5,3,1.0
TA,L10A,42.1,-116.5,P_type_Layer,1.2,1,1.0
LD,MMNY,42.7,-77.9,P_type_Layer,0.8,2,1.0
TA,E50A,46.4,-80.7,Transitional,1.2,4,2.0
TA,M34A,41.5,-96.6,Transitional,2.3,4,2.0
TA,218A,32.0,-110.0,P_type_Layer,1.2,2,1.0
7A,PVGR,39.6,-81.4,Intra_no_base,1.2,2,3.0
CI,DGR,33.7,-117.0,P_type_Layer,0.8,2,2.0
TA,G41A,45.2,-89.2,P_type_Layer,1.4,2,1.0
TA,K14A,42.5,-113.2,P_type_Layer,1.7,2,1.0
CI,HEC,34.8,-116.3,P_type_Layer,1.2,1,2.0
TA,450A,30.8,-86.6,P_type_Layer,0.9,2,1.0
Z9,W06,31.4,-83.9,Intra_no_base,0.8,2,3.0
NE,EMMW,44.7,-67.5,Transitional,0.8,4,1.0
CN,SNB,48.8,-123.2,Intra_no_base,1.0,3,3.0
N4,H43A,44.5,-87.8,Intra_no_base,1.0,3,3.0
TA,G28A,45.1,-100.9,P_type_Layer,2.2,1,2.0
TA,G64A,45.3,-68.8,N_type_Layer,0.8,2,2.0
,O42A,40.2,-90.1,Intra_no_base,1.2,3,N/A
US,RLMT,45.1,-109.3,Transitional,0.8,4,3.0
TA,D57A,47.0,-73.9,P_type_Layer,0.8,1,1.0
N4,H62A,44.6,-71.2,N_type_Layer,1.2,3,1.0
TA,T35A,36.9,-96.5,Intra_no_base,1.0,2,3.0
N4,P53A,39.5,-81.4,Intra_no_base,0.8,2,3.0
TA,O11A,40.1,-115.7,Intra_no_base,1.7,1,3.0
TA,C27A,47.7,-101.5,Intra_no_base,0.8,2,3.0
TA,135A,32.6,-97.4,Intra_no_base,0.8,2,3.0
TA,I55A,44.2,-77.7,P_type_Layer,0.9,2,1.0
TA,D62A,47.1,-69.1,N_type_Layer,0.8,3,2.0
TA,P37A,39.6,-94.3,Transitional,0.8,4,3.0
N4,O49A,40.2,-84.3,P_type_Layer,0.8,2,1.0
TA,Q24A,39.0,-105.1,Intra_no_base,0.8,1,3.0
TA,M21A,41.6,-107.4,Intra_no_base,0.8,1,3.0
TA,Q59A,38.9,-76.7,Intra_no_base,1.2,2,3.0
7A,SUSI,40.4,-83.2,Intra_no_base,0.8,3,3.0
BK,JRSC,37.4,-122.2,Intra_no_base,1.2,3,3.0
TA,G53A,45.1,-78.6,P_type_Layer,0.9,2,1.0
US,AGMN,48.3,-95.9,Transitional,1.2,4,1.0
UW,DOSE,47.7,-123.0,P_type_Layer,0.8,1,1.0
UW,RADR,46.4,-123.8,Transitional,0.8,4,2.0
TA,B11A,48.4,-116.4,P_type_Layer,1.0,1,1.0
TA,O39A,40.3,-92.5,Intra_no_base,1.3,2,3.0
TA,O22A,40.2,-106.5,Intra_no_base,1.0,1,3.0
TA,X36A,34.6,-96.4,Intra_no_base,1.1,2,3.0
TA,I23A,44.0,-105.5,Intra_no_base,1.0,2,3.0
TA,328A,31.4,-102.8,Intra_no_base,0.8,1,3.0
TA,R45A,38.3,-88.3,Intra_no_base,0.8,1,3.0
N4,W52A,35.1,-83.9,Intra_no_base,0.8,2,3.0
UW,LEBA,46.5,-123.6,Intra_no_base,0.9,1,3.0
TA,L16A,42.0,-111.4,Intra_no_base,1.6,1,3.0
TA,M54A,41.5,-79.7,Intra_no_base,1.4,2,3.0
TA,637A,29.4,-96.3,Intra_no_base,1.2,3,3.0
TA,N24A,40.8,-104.9,Intra_no_base,1.4,2,3.0
TA,I31A,44.0,-98.5,Intra_no_base,2.7,1,3.0
TA,T22A,37.0,-106.9,Intra_no_base,1.4,2,3.0
TA,O20A,40.1,-108.2,Intra_no_base,1.4,2,3.0
TA,M24A,41.5,-104.8,Intra_no_base,1.5,2,3.0
