longitude,latitude,depth,vsv,vp
-100.25,28.25,100.0,4.55138,8.14411
-100.0,28.25,100.0,4.56144,8.16154
-99.75,28.25,100.0,4.55814,8.15697
-99.5,28.25,100.0,4.55353,8.1492
-99.25,28.25,100.0,4.55034,8.14356
-99.0,28.25,100.0,4.53672,8.11776
-98.75,28.25,100.0,4.52112,8.0884
-98.5,28.25,100.0,4.5071,8.06249
-98.25,28.25,100.0,4.51367,8.07495
-98.0,28.25,100.0,4.52601,8.09748
-97.75,28.25,100.0,4.53671,8.11721
-97.5,28.25,100.0,4.53203,8.10889
-97.25,28.25,100.0,4.52524,8.097
-96.5,28.25,100.0,4.52707,8.10149
-96.25,28.25,100.0,4.53837,8.12192
-82.75,28.25,100.0,4.59424,8.2208
-82.5,28.25,100.0,4.60154,8.23342
-82.25,28.25,100.0,4.60264,8.23544
-82.0,28.25,100.0,4.60583,8.24126
-81.75,28.25,100.0,4.60951,8.24832
-81.5,28.25,100.0,4.61159,8.25313
-81.25,28.25,100.0,4.59123,8.21064
-81.0,28.25,100.0,4.56619,8.16538
-80.75,28.25,100.0,4.53853,8.11538
-80.5,28.25,100.0,4.54744,8.13159
-100.5,28.5,100.0,4.52185,8.09367
-100.25,28.5,100.0,4.52158,8.09306
-100.0,28.5,100.0,4.52283,8.09536
-99.75,28.5,100.0,4.53092,8.11061
-99.5,28.5,100.0,4.54065,8.12786
-99.25,28.5,100.0,4.5396,8.12611
-99.0,28.5,100.0,4.54019,8.12637
-98.75,28.5,100.0,4.53446,8.11459
-98.5,28.5,100.0,4.52392,8.09344
-98.25,28.5,100.0,4.52458,8.0945
-98.0,28.5,100.0,4.52973,8.1037
-97.75,28.5,100.0,4.5392,8.1209
-97.5,28.5,100.0,4.53122,8.10718
-97.25,28.5,100.0,4.52216,8.09182
-97.0,28.5,100.0,4.51506,8.07962
-96.75,28.5,100.0,4.51777,8.08461
-96.5,28.5,100.0,4.52913,8.10483
-96.25,28.5,100.0,4.54307,8.12967
-96.0,28.5,100.0,4.55708,8.15481
-95.75,28.5,100.0,4.57115,8.18027
-95.5,28.5,100.0,4.58471,8.20483
-95.25,28.5,100.0,4.59644,8.22593
-82.75,28.5,100.0,4.59359,8.21909
-82.5,28.5,100.0,4.60112,8.23239
-82.25,28.5,100.0,4.60193,8.23385
-82.0,28.5,100.0,4.60382,8.23735
-81.75,28.5,100.0,4.60123,8.23343
-81.5,28.5,100.0,4.60203,8.23568
-81.25,28.5,100.0,4.58542,8.19965
-81.0,28.5,100.0,4.572,8.17535
-80.75,28.5,100.0,4.54138,8.11978
-100.5,28.75,100.0,4.44687,7.94808
-100.25,28.75,100.0,4.45221,7.97385
-100.0,28.75,100.0,4.45667,7.98064
-99.75,28.75,100.0,4.47837,8.02068
-99.5,28.75,100.0,4.5066,8.05687
-99.25,28.75,100.0,4.53641,8.12225
-99.0,28.75,100.0,4.53555,8.10733
-98.75,28.75,100.0,4.53827,8.12539
-98.5,28.75,100.0,4.54084,8.12928
-98.25,28.75,100.0,4.53153,8.1085
-98.0,28.75,100.0,4.53636,8.11487
-97.75,28.75,100.0,4.53413,8.1091
-97.5,28.75,100.0,4.52978,8.10423
-97.25,28.75,100.0,4.51455,8.07885
-97.0,28.75,100.0,4.50641,8.06461
-96.75,28.75,100.0,4.51528,8.07981
-96.5,28.75,100.0,4.53289,8.11059
-96.25,28.75,100.0,4.54979,8.14025
-96.0,28.75,100.0,4.56455,8.16666
-95.75,28.75,100.0,4.58018,8.19509
-95.5,28.75,100.0,4.59612,8.22424
-95.25,28.75,100.0,4.60972,8.24904
-82.5,28.75,100.0,4.57545,8.1859
-82.25,28.75,100.0,4.58462,8.20239
-82.0,28.75,100.0,4.58891,8.21007
-81.75,28.75,100.0,4.59324,8.21887
-81.5,28.75,100.0,4.58722,8.20973
-81.25,28.75,100.0,4.57824,8.1949
-81.0,28.75,100.0,4.56887,8.16883
-80.75,28.75,100.0,4.55117,8.14712
-103.5,29.0,100.0,4.35059,7.77548
-103.25,29.0,100.0,4.35336,7.79707
-103.0,29.0,100.0,4.35327,7.78069
-102.75,29.0,100.0,4.35781,7.791
-100.75,29.0,100.0,4.43272,7.92967
-100.5,29.0,100.0,4.43336,7.92917
-100.25,29.0,100.0,4.44448,7.94721
-100.0,29.0,100.0,4.44981,7.95413
-99.75,29.0,100.0,4.47442,7.99896
-99.5,29.0,100.0,4.50354,8.0536
-99.25,29.0,100.0,4.53607,8.11048
-99.0,29.0,100.0,4.54032,8.11849
-98.75,29.0,100.0,4.54382,8.12167
-98.5,29.0,100.0,4.54446,8.12237
-98.25,29.0,100.0,4.52635,8.0947
-98.0,29.0,100.0,4.51904,8.08456
-97.75,29.0,100.0,4.51541,8.08132
-97.5,29.0,100.0,4.50465,8.05675
-97.25,29.0,100.0,4.50213,8.05421
-97.0,29.0,100.0,4.50829,8.0664
-96.75,29.0,100.0,4.52128,8.08951
-96.5,29.0,100.0,4.54192,8.12587
-96.25,29.0,100.0,4.55937,8.15581
-96.0,29.0,100.0,4.57189,8.17813
-95.75,29.0,100.0,4.58897,8.20931
-95.5,29.0,100.0,4.6086,8.24528
-95.25,29.0,100.0,4.62432,8.27425
-90.75,29.0,100.0,4.5221,8.07422
-90.5,29.0,100.0,4.53286,8.09703
-83.25,29.0,100.0,4.51845,8.07617
-82.75,29.0,100.0,4.5329,8.10814
-82.5,29.0,100.0,4.54543,8.13167
-82.25,29.0,100.0,4.55778,8.15394
-82.0,29.0,100.0,4.5685,8.17326
-81.75,29.0,100.0,4.57027,8.17678
-81.5,29.0,100.0,4.56587,8.16939
-81.25,29.0,100.0,4.57127,8.1803
-81.0,29.0,100.0,4.57027,8.17853
-80.75,29.0,100.0,4.57006,8.1778
-104.5,29.25,100.0,4.32996,7.75262
-104.25,29.25,100.0,4.33396,7.76006
-104.0,29.25,100.0,4.33987,7.76816
-103.75,29.25,100.0,4.3467,7.77358
-103.5,29.25,100.0,4.35086,7.77433
-103.25,29.25,100.0,4.35324,7.79617
-103.0,29.25,100.0,4.353,7.78126
-102.75,29.25,100.0,4.35591,7.79022
-102.5,29.25,100.0,4.36246,7.80329
-101.0,29.25,100.0,4.4432,7.95087
-100.75,29.25,100.0,4.4327,7.93214
-100.5,29.25,100.0,4.43326,7.93262
-100.25,29.25,100.0,4.44385,7.95069
-100.0,29.25,100.0,4.45734,7.97437
-99.75,29.25,100.0,4.47847,8.013
-99.5,29.25,100.0,4.50616,8.06133
-99.25,29.25,100.0,4.53549,8.11468
-99.0,29.25,100.0,4.54553,8.13039
-98.75,29.25,100.0,4.5486,8.13479
-98.5,29.25,100.0,4.55206,8.14185
-98.25,29.25,100.0,4.53113,8.10581
-98.0,29.25,100.0,4.50643,8.06181
-97.75,29.25,100.0,4.4932,8.03823
-97.5,29.25,100.0,4.49238,8.03818
-97.25,29.25,100.0,4.50285,8.05435
-97.0,29.25,100.0,4.52164,8.08887
-96.75,29.25,100.0,4.53441,8.11246
-96.5,29.25,100.0,4.55668,8.15133
-96.25,29.25,100.0,4.56961,8.17285
-96.0,29.25,100.0,4.57581,8.18412
-95.75,29.25,100.0,4.59564,8.22034
-95.5,29.25,100.0,4.62198,8.26805
-95.25,29.25,100.0,4.63957,8.30068
-95.0,29.25,100.0,4.65003,8.32
-91.0,29.25,100.0,4.51086,8.08064
-90.75,29.25,100.0,4.51937,8.07241
-90.5,29.25,100.0,4.53228,8.09859
-90.25,29.25,100.0,4.54831,8.12887
-90.0,29.25,100.0,4.56254,8.15482
-89.75,29.25,100.0,4.57366,8.174
-89.5,29.25,100.0,4.57963,8.18388
-83.75,29.25,100.0,4.5391,8.10815
-83.5,29.25,100.0,4.52589,8.0852
-83.25,29.25,100.0,4.52071,8.07924
-83.0,29.25,100.0,4.51713,8.07495
-82.75,29.25,100.0,4.51681,8.07771
-82.5,29.25,100.0,4.52296,8.09072
-82.25,29.25,100.0,4.53252,8.10817
-82.0,29.25,100.0,4.53629,8.11501
-81.75,29.25,100.0,4.55025,8.14044
-81.5,29.25,100.0,4.56391,8.16532
-81.25,29.25,100.0,4.57412,8.1839
-81.0,29.25,100.0,4.57815,8.19138
-80.75,29.25,100.0,4.57704,8.1895
-104.5,29.5,100.0,4.32629,7.74768
-104.25,29.5,100.0,4.33017,7.75534
-104.0,29.5,100.0,4.33932,7.76993
-103.75,29.5,100.0,4.34871,7.77964
-103.5,29.5,100.0,4.35143,7.79419
-103.25,29.5,100.0,4.35591,7.78359
-103.0,29.5,100.0,4.35635,7.7898
-102.75,29.5,100.0,4.35789,7.79709
-102.5,29.5,100.0,4.3641,7.80849
-101.0,29.5,100.0,4.45544,7.9738
-100.75,29.5,100.0,4.445,7.95507
-100.5,29.5,100.0,4.44549,7.95619
-100.25,29.5,100.0,4.45947,7.97514
-100.0,29.5,100.0,4.4669,7.99456
