Network,Station,CoveredEpicentralDistances,UncoveredEpicentralDistances,EpiDistRatio,Accepted,faceLon,faceLat,AcceptedNumeric,nrec,BazRatio,AvgSNR
AK,J17K,39,22,0.639344262295082,Yes,-159.1,63.4,1,78,0.14404432132964,12.3832610852437
AK,J19K,41,20,0.672131147540984,Yes,-155.6,64.0,1,81,0.130193905817175,14.494280486503
AK,J20K,37,24,0.60655737704918,No,-154.1,64.2,0,86,0.152354570637119,14.4770166163676
AK,J25K,30,31,0.491803278688525,No,-145.4,64.6,0,68,0.119113573407202,10.4829082821211
AK,J26L,22,39,0.360655737704918,No,-143.6,64.5,0,35,0.0692520775623269,11.6704171724385
AK,K13K,21,40,0.344262295081967,No,-164.7,61.9,0,36,0.0637119113573407,13.3761165118255
AK,K15K,28,33,0.459016393442623,Yes,-161.5,62.3,1,43,0.0914127423822715,11.9863009256499
AK,K20K,43,18,0.704918032786885,Yes,-154.1,63.4,1,79,0.132963988919668,12.2248502844344
AK,K24K,25,36,0.409836065573771,No,-145.8,63.8,0,37,0.074792243767313,10.2113404486608
AK,K27K,33,28,0.540983606557377,Yes,-142.1,64.0,1,61,0.121883656509695,14.5724396171753
AK,KAI,22,39,0.360655737704918,No,-144.4,59.9,0,33,0.0803324099722992,11.4704029917988
AK,KLU,53,8,0.868852459016393,Yes,-145.9,61.5,1,249,0.304709141274238,14.5084019293224
AK,KNK,58,3,0.950819672131147,No,-148.5,61.4,0,249,0.296398891966759,14.1723909574403
AK,L14K,23,38,0.377049180327869,Yes,-162.7,61.3,1,37,0.07202216066482,12.4430848650233
AK,L16K,8,53,0.131147540983607,Yes,-159.5,61.7,1,10,0.0221606648199446,7.2557550522605
AK,L17K,34,27,0.557377049180328,Yes,-158.3,62.1,1,68,0.116343490304709,14.239037048086
AK,L18K,27,34,0.442622950819672,Yes,-156.7,62.2,1,41,0.0803324099722992,15.4888977556464
AK,L19K,30,31,0.491803278688525,No,-154.9,62.2,0,51,0.0941828254847645,12.2260645688933
AK,L20K,28,33,0.459016393442623,No,-153.9,62.5,0,39,0.07202216066482,13.4598444135574
AK,L22K,22,39,0.360655737704918,No,-150.8,62.5,0,31,0.0692520775623269,14.1220877214904
AK,L26K,27,34,0.442622950819672,No,-143.3,63.0,0,36,0.0775623268698061,12.8218681260965
AK,M11K,10,51,0.163934426229508,No,-166.2,60.4,0,11,0.0277008310249307,12.7198984485794
AK,M14K,17,44,0.278688524590164,No,-162.0,60.8,0,18,0.0415512465373961,9.38283454119279
AK,M16K,22,39,0.360655737704918,Yes,-159.0,61.0,1,34,0.0775623268698061,12.9851039134766
AK,M19K,28,33,0.459016393442623,No,-154.4,61.9,0,56,0.102493074792244,12.6479057557812
AK,M20K,34,27,0.557377049180328,No,-153.1,61.9,0,62,0.113573407202216,11.1207902010696
AK,M23K,20,41,0.327868852459016,No,-147.7,61.8,0,28,0.0609418282548476,10.0731185097275
AK,M26K,34,27,0.557377049180328,Yes,-143.0,62.4,1,60,0.102493074792244,12.2881566884372
AK,M27K,36,25,0.590163934426229,No,-141.9,62.4,0,66,0.132963988919668,12.2920604268102
AK,MCK,61,0,1.0,Yes,-148.9,63.7,1,420,0.379501385041551,14.3770857222546
AK,MLY,57,4,0.934426229508197,No,-150.7,65.0,0,276,0.296398891966759,15.8858960128138
AK,N15K,22,39,0.360655737704918,No,-160.1,60.2,0,32,0.074792243767313,12.0270523706699
AK,N18K,33,28,0.540983606557377,No,-155.9,60.7,0,53,0.113573407202216,12.0642189384637
AK,N19K,37,24,0.60655737704918,Yes,-154.5,60.8,1,63,0.113573407202216,11.1883553708544
AK,NEA2,54,7,0.885245901639344,Yes,-149.1,64.6,1,183,0.246537396121884,15.4261778102463
AK,NIKH,34,27,0.557377049180328,Yes,-168.9,53.0,1,63,0.132963988919668,12.8016747995719
AK,O14K,19,42,0.311475409836066,Yes,-161.3,59.3,1,25,0.0554016620498615,12.285181822705
AK,O18K,32,29,0.524590163934426,Yes,-155.2,59.9,1,52,0.0914127423822715,11.5060294392988
AK,O19K,23,38,0.377049180327869,No,-154.3,60.2,0,34,0.0692520775623269,9.18712028968604
AK,O20K,10,51,0.163934426229508,Yes,-152.6,60.1,1,13,0.0332409972299169,12.677581214451
AK,P08K,4,57,0.0655737704918033,Yes,-169.5,56.6,1,4,0.0110803324099723,7.1707100623364
AK,P16K,16,45,0.262295081967213,No,-158.0,59.0,0,21,0.0470914127423823,12.0377497929097
AK,P17K,26,35,0.426229508196721,No,-156.4,59.2,0,50,0.0941828254847645,13.6381472934992
AK,P23K,12,49,0.19672131147541,No,-147.4,60.0,0,17,0.038781163434903,8.7374064898797
AK,PAX,60,1,0.983606557377049,No,-145.5,63.0,0,280,0.301939058171745,14.1377054164927
AK,PIN,51,10,0.836065573770492,Yes,-140.3,60.1,1,181,0.238227146814404,15.2689400682375
AK,PNL,51,10,0.836065573770492,Yes,-139.4,59.7,1,171,0.227146814404432,13.8269594779363
AK,POKR,38,23,0.622950819672131,Yes,-147.4,65.1,1,262,0.105263157894737,13.4035740342547
AK,PPD,54,7,0.885245901639344,No,-145.5,65.5,0,155,0.221606648199446,15.6481495087585
AK,PPLA,61,0,1.0,No,-152.2,62.9,0,375,0.343490304709141,14.8034651368247
AK,PWL,48,13,0.786885245901639,No,-148.3,60.9,0,173,0.249307479224377,14.4508548387153
AK,Q19K,21,40,0.344262295081967,No,-153.6,58.9,0,29,0.07202216066482,15.1840492540237
AK,Q23K,4,57,0.0655737704918033,Yes,-146.3,59.4,1,4,0.0110803324099723,17.8246181737269
AK,R16K,5,56,0.0819672131147541,No,-157.6,57.6,0,5,0.0138504155124654,12.242014218263
AK,R18K,9,52,0.147540983606557,No,-154.5,57.6,0,10,0.0277008310249307,12.8446958641559
AK,R32K,5,56,0.0819672131147541,No,-134.5,58.3,0,5,0.0138504155124654,10.5074265529345
AK,RC01,57,4,0.934426229508197,Yes,-149.7,61.1,1,411,0.373961218836565,14.6993749775042
AK,RDOG,43,18,0.704918032786885,No,-162.9,68.1,0,101,0.166204986149584,13.5851705059506
AK,RIDG,50,11,0.819672131147541,No,-144.8,63.7,0,163,0.249307479224377,13.5094870972749
AK,S31K,21,40,0.344262295081967,No,-136.2,58.0,0,28,0.0609418282548476,10.6117061039286
AK,S32K,4,57,0.0655737704918033,No,-134.6,57.5,0,5,0.0138504155124654,11.9314464248834
AK,SAW,61,0,1.0,Yes,-148.3,61.8,1,354,0.349030470914127,14.6369382377477
AK,SCM,59,2,0.967213114754098,No,-147.3,61.8,0,343,0.343490304709141,13.82266289242
AK,SCRK,59,2,0.967213114754098,No,-144.0,64.0,0,300,0.315789473684211,14.3976382202607
AK,SII,19,42,0.311475409836066,No,-154.2,56.6,0,24,0.0609418282548476,11.7852590931791
AK,SKN,51,10,0.836065573770492,No,-151.5,62.0,0,138,0.210526315789474,15.4360464866469
AK,SPIA,33,28,0.540983606557377,No,-170.2,57.2,0,64,0.127423822714681,12.8067346423597
AK,SSN,45,16,0.737704918032787,Yes,-150.7,61.5,1,135,0.224376731301939,14.3999896262483
AK,SWD,55,6,0.901639344262295,No,-149.5,60.1,0,240,0.285318559556787,12.6621569796476
AK,TNA,60,1,0.983606557377049,No,-167.9,65.6,0,318,0.310249307479224,14.9496047683242
