RADR	46.400000	-123.800000
O48B	40.300000	-85.200000
VTV	34.600000	-117.300000
E47A	46.500000	-83.300000
V48A	35.700000	-86.800000
O16A	40.200000	-111.500000
Y15A	34.000000	-112.300000
K63A	42.700000	-71.500000
D57A	47.000000	-73.900000
Q18A	39.100000	-110.100000
I53A	43.800000	-79.600000
SDR	32.700000	-116.900000
R35A	38.300000	-96.200000
GSC	35.300000	-116.800000
NC03	35.500000	-79.300000
D54A	47.200000	-76.700000
237B	32.000000	-95.800000
A11A	49.000000	-116.400000
D63A	47.000000	-68.100000
529A	30.100000	-102.200000
G41A	45.200000	-89.200000
B09A	48.400000	-118.100000
N56A	40.900000	-78.300000
X55A	34.500000	-81.600000
M14A	41.500000	-113.300000
EYMN	47.900000	-91.500000
Y18A	33.800000	-110.000000
WIZ	42.900000	-122.100000
BAR	32.700000	-116.700000
X20A	34.500000	-108.500000
T59A	37.000000	-77.600000
H04A	44.700000	-122.200000
X18A	34.500000	-110.000000
V52A	35.800000	-83.600000
Q12A	39.000000	-114.800000
F63A	45.700000	-69.100000
E16A	46.500000	-111.700000
MUR	33.600000	-117.200000
G53A	45.100000	-78.600000
IRM	34.200000	-115.100000
H15A	44.600000	-112.600000
F05A	45.900000	-121.500000
JEDS	43.800000	-124.000000
N59A	40.900000	-75.800000
I55A	44.200000	-77.700000
AGMN	48.300000	-95.900000
F48A	45.800000	-82.600000
Z37A	33.200000	-95.600000
F63A	45.700000	-69.100000
D37A	47.200000	-92.400000
117A	32.600000	-110.700000
214A	32.000000	-112.800000
J08A	43.400000	-118.500000
U17A	36.600000	-110.700000
E15A	46.400000	-112.600000
EMMW	44.700000	-67.500000
L48A	41.900000	-84.400000
U33A	36.400000	-98.100000
X19A	34.400000	-109.300000
X15A	34.500000	-112.200000
Y53A	33.900000	-83.600000
